id,t,avg_mood_t,std_mood_t,trend_mood_t,avg_valence_t,std_valence_t,trend_valence_t,avg_arousal_t,std_arousal_t,trend_arousal_t,avg_screen_t,std_screen_t,trend_screen_t,target_day,avg_mood_target,std_mood_target,trend_mood_target
AS14.12,day 1-5,6.421052631578948,0.8775437895017404,-0.03684210526315789,0.631578947368421,0.6657426652986063,0.015789473684210513,0.05263157894736842,0.944439918154019,0.035087719298245605,81.05610411134485,349.7325637504378,-0.009976353033144085,day 6,6.4,0.8,-0.19999999999999998
AS14.12,day 2-6,6.5,0.8393720596645177,-0.05251270468661773,0.6818181818181818,0.631474726793173,-0.03444381705251271,0.13636363636363635,0.9674453024451255,0.04234895539243367,75.80749433273093,321.218507067426,-0.06613710730340655,day 7,6.4,0.48989794855663565,0.3
AS14.12,day 3-7,6.391304347826087,0.8203461853962265,-0.02075098814229249,0.6521739130434783,0.6330530338504797,-0.005928853754940708,0.30434782608695654,0.9057681154782461,0.013833992094861653,75.06832919160279,304.7987076534013,-0.003432140945497414,day 8,6.0,0.0,0.0
AS14.12,day 4-8,6.25,0.7216878364870323,-0.019999999999999973,0.625,0.5636562191028618,-0.005652173913043477,0.20833333333333334,0.8154327412825385,-0.036086956521739134,86.08263576109674,416.5240049170069,0.1532767232653263,day 9,5.4,1.2,-0.6
AS14.12,day 5-9,6.0,0.848528137423857,-0.029999999999999992,0.44,0.6974238309665077,-0.01538461538461538,0.12,0.8158431221748456,0.014615384615384608,76.3716445355676,302.52380987949306,0.07801778616747505,day 10,6.5,0.5,0.3999999999999999
AS14.12,day 6-10,6.125,0.8322910148099242,-0.023913043478260867,0.5,0.7071067811865476,-0.0069565217391304324,0.2916666666666667,0.7894706383956841,0.016086956521739148,75.38789930608536,286.8617867679473,-0.03548311174613523,day 11,6.2,1.16619037896906,0.2
AS14.12,day 7-11,6.083333333333333,0.9090593428863095,1.636934545189396e-18,0.5,0.7071067811865476,-0.013913043478260867,0.20833333333333334,0.7626252174051302,0.009130434782608695,74.07420166850089,281.7814018217124,-0.10084993360953189,day 12,6.25,0.82915619758885,-0.10000000000000003
AS14.12,day 8-12,6.043478260869565,0.9545434087000064,0.024703557312252964,0.4782608695652174,0.7144207271806516,0.01284584980237154,0.17391304347826086,0.8157244799692921,0.026679841897233197,71.45240410080167,289.7791255141427,-0.11400061693225876,day 13,6.4,0.48989794855663565,-0.09999999999999996
AS14.12,day 9-13,6.130434782608695,0.9914568913905547,0.036561264822134384,0.5652173913043478,0.711769806249778,0.04446640316205532,0.30434782608695654,0.7480282840906631,-0.011857707509881415,59.90951923452891,108.53678559869434,-0.011700609372254001,day 14,6.25,0.4330127018922193,-0.29999999999999993
AS14.12,day 10-14,6.318181818181818,0.7619570279200097,-0.003952569169960478,0.6363636363636364,0.5677270907634907,-0.0022586109542631233,0.22727272727272727,0.7343406555183415,-0.025409373235460195,57.480333993086234,96.60738164915897,0.023806369326555724,day 15,5.25,0.4330127018922193,0.09999999999999998
AS14.12,day 11-15,6.090909090909091,0.8479435502808013,-0.03839638622247318,0.4090909090909091,0.7172606290027046,-0.04121964991530208,0.09090909090909091,0.5961307749365454,-0.003387916431394694,64.29063064878723,125.18676056667825,0.07544414457420924,day 16,6.4,0.48989794855663565,0.3
AS14.12,day 12-16,6.136363636363637,0.6938335237488067,-0.014116318464144554,0.45454545454545453,0.6555547773570889,-0.03387916431394691,0.13636363636363635,0.5473452081269226,-0.007340485601355157,68.14479349721687,129.14443646387252,0.03656532602812927,day 17,6.6,0.4898979485566356,3.510833468576701e-17
AS14.12,day 13-17,6.217391304347826,0.6565073421974564,0.014822134387351771,0.5217391304347826,0.6507230237867724,0.009881422924901186,0.0,0.659380473395787,-0.01877470355731226,67.82351258418542,129.66467774338147,0.026327312252777894,day 18,6.8,0.39999999999999997,0.20000000000000004
AS14.12,day 14-18,6.304347826086956,0.6874516652539956,0.05632411067193676,0.4782608695652174,0.6507230237867725,0.05731225296442686,-0.043478260869565216,0.7505511522448726,0.0009881422924901072,65.55733612926066,127.32351748946752,-0.0059594415798943845,day 19,5.6,1.0198039027185568,-0.5
AS14.12,day 15-19,6.166666666666667,0.8498365855987975,0.014782608695652167,0.4166666666666667,0.7021791477646965,0.019130434782608705,0.08333333333333333,0.8122328620674136,0.03217391304347826,68.97925217172374,136.5757934877371,-0.021161227968734434,day 20,6.6,0.48989794855663565,0.20000000000000004
AS14.12,day 16-20,6.4,0.7483314773547882,-0.01,0.64,0.5571355310873648,-0.009230769230769232,0.0,0.8944271909999159,0.0069230769230769216,67.50408888834494,131.80456461695428,0.017515209161659957,day 21,6.8,0.7483314773547882,0.30000000000000004
AS14.12,day 17-21,6.48,0.8059776671843955,0.005384615384615381,0.72,0.530659966456864,0.0015384615384615402,0.0,0.938083151964686,0.022307692307692292,64.95057789743811,124.62758197118826,-0.0032966190089282915,day 22,7.0,0.0,0.0
AS14.12,day 18-22,6.541666666666667,0.8154327412825386,0.0317391304347826,0.7083333333333334,0.5384519993050035,0.02913043478260868,0.08333333333333333,0.8122328620674136,-0.006086956521739143,60.40910493512601,119.08951002692125,-0.033563003162705905,day 23,6.8,0.39999999999999997,0.20000000000000004
AS14.12,day 19-23,6.541666666666667,0.8154327412825385,0.05869565217391304,0.7083333333333334,0.5384519993050035,0.03869565217391304,-0.041666666666666664,0.7894706383956841,-0.04217391304347824,61.916017718937084,117.10427727811455,-0.038369339696040394,day 24,6.6,0.48989794855663565,0.3
AS14.12,day 20-24,6.75,0.5204164998665332,0.00869565217391304,0.875,0.33071891388307384,0.0004347826086956412,-0.2916666666666667,0.7347996703561832,-0.022173913043478263,60.00390588335632,108.86725505766631,-0.01363675979552285,day 25,5.8,0.39999999999999997,-0.2
AS14.12,day 21-25,6.583333333333333,0.6400954789890506,-0.04347826086956522,0.7916666666666666,0.49826086429589156,-0.027391304347826082,-0.125,0.7252872993970504,-0.0030434782608695834,55.436935334927654,96.16187865157339,-0.0011745696103287464,day 26,6.4,0.4898979485566356,0.19999999999999998
AS14.12,day 22-26,6.5,0.5773502691896257,-0.03826086956521739,0.7916666666666666,0.49826086429589156,-0.005652173913043478,-0.08333333333333333,0.7021791477646965,0.04434782608695652,63.28833088629387,228.9560834413931,0.04212333168279703,day 27,6.0,0.0,0.0
AS14.12,day 23-27,6.333333333333333,0.5527707983925667,-0.03130434782608695,0.75,0.5204164998665332,0.0043478260869565235,-0.125,0.7252872993970504,0.04391304347826085,68.2947385388036,242.7332275726702,0.01404594524479716,day 28,6.5,0.5,0.3999999999999999
AS14.12,day 24-28,6.260869565217392,0.5289358721998451,0.002964426877470353,0.782608695652174,0.5070392952039391,0.015810276679841896,0.043478260869565216,0.6901959941907627,0.028656126482213416,80.29137440767337,257.12988135540616,0.08584601684821352,day 29,5.8,0.39999999999999997,0.20000000000000004
AS14.12,day 25-29,6.086956521739131,0.5032972566430534,0.004940711462450594,0.782608695652174,0.5070392952039391,0.01877470355731225,0.17391304347826086,0.480233087703794,-0.022727272727272728,77.99572839486751,253.48650245956293,0.01945591017039048,day 30,6.6,0.48989794855663565,0.3
AS14.12,day 26-30,6.260869565217392,0.5289358721998451,0.012845849802371537,0.8260869565217391,0.37903469074266727,-0.0108695652173913,-0.043478260869565216,0.5499613322031964,-0.03952569169960474,82.15518984779011,259.57170447820516,-0.060869868671740324,day 31,5.6,1.019803902718557,0.09999999999999995
AS14.12,day 27-31,6.086956521739131,0.7170618479335062,-0.007905138339920945,0.6521739130434783,0.560178205509788,-0.025691699604743077,-0.08695652173913043,0.5833220810869016,0.0029644268774703564,72.75330291612306,144.1144227804368,-0.10083667014497351,day 32,7.0,0.0,0.0
